institution,glider_deployment,start,end
Rutgers University,ru30-20190717T1812,8/5/19,8/12/19
Stony Brook University,SBU01-20210226T1910,2/26/21,3/23/21
Rutgers University,ru30-20210226T1647,2/26/21,3/21/21
Rutgers University,ru30-20210503T1929,5/3/21,5/27/21
Stony Brook University,SBU01-20210513T1921,5/13/21,6/14/21
University of Maine,um_242-20210630T1904,7/1/21,7/21/21
Rutgers University,ru30-20210716T1804,7/16/21,8/20/21
Stony Brook University,SBU01-20210723T1544,7/23/21,8/20/21
Rutgers University,ru30-20211020T1316,10/20/21,11/17/21
Stony Brook University,SBU01-20211102T1526,11/2/21,11/20/21
University of Maine,um_242-20211105T1545,11/5/21,12/9/21
Rutgers University,maracoos_02-20220420T2011,4/20/22,5/18/22
University of Maine,um_242-20220513T1556,5/13/22,6/19/22
Stony Brook University,SBU01-20220805T1855,8/5/22,9/4/22
University of Maine,um_242-20220903T1649,9/3/22,10/6/22
Rutgers University,ru30-20220906T1523,9/6/22,9/16/22
Stony Brook University,SBU01-20221011T1924,10/11/22,10/29/22
Rutgers University,ru30-20221011T1527,10/11/22,11/7/22
University of Maine,um_242-20221205T1648,12/5/22,1/3/23
Stony Brook University,SBU02-20230420T1743,4/20/23,5/17/23
Rutgers University,ru39-20230420T1636,4/20/23,5/12/23
Stony Brook University,SBU01-20230706T1707,7/6/23,8/1/23
University of Maine,um_242-20230803T1949,8/3/23,8/21/23
Stony Brook University,SBU02-20230803T1546,8/3/23,8/24/23
Rutgers University,ru39-20230817T1520,8/17/23,9/20/23
Rutgers University,ru34-20230920T1506,9/20/23,10/19/23
Stony Brook University,SBU01-20231011T1805,10/11/23,10/30/23
Stony Brook University,SBU02-20231018T1829,10/18/23,11/6/23
Rutgers University,ru39-20231103T1413,11/3/23,12/5/23
University of Maine,um_242-20231109T1526,11/9/23,12/8/23
Stony Brook University,SBU01-20240212T1652,2/12/24,3/1/24
Rutgers University,ru39-20240215T1646,2/15/24,3/14/24
Rutgers University,ru39-20240429T1522,4/29/24,5/29/24
Rutgers University,ru43-20240612T1658,6/12/24,7/9/24
Rutgers University,ru39-20240723T1442,7/23/24,8/23/24
Rutgers University,ru32-20240723T1443,7/23/24,8/15/24
